landmark_name,latitude,longitude
"18th-Century Royal Palace at Caserta with the Park, the Aqueduct of Vanvitelli, and the San Leucio Complex",41.07333,14.32639
<I>Sacri Monti</I> of Piedmont and Lombardy,45.97455556,9.169555556
<i>Aflaj</i> Irrigation Systems of Oman,22.99888889,57.53605556
Aachen Cathedral,50.77474685,6.083919968
Aapravasi Ghat,-20.15863889,57.50316667
Aasivissuit – Nipisat. Inuit Hunting Ground between Ice and Sea,67.06393056,-51.43320556
Abbey Church of Saint-Savin sur Gartempe,46.56472,0.86611
Abbey and Altenmünster of Lorsch,49.65369,8.56858
Abbey of St Gall,47.42333,9.37778
Abu Mena,30.83583333,29.66666667
"Acropolis, Athens",37.97087,23.72618
Agave Landscape and Ancient Industrial Facilities of Tequila,20.86305556,-103.7786111
Agra Fort,27.179806,78.021528
Agricultural Landscape of Southern Öland,56.325,16.48333
Air and Ténéré Natural Reserves,19.07619264,9.661999998
Ajanta Caves,20.553111,75.70025
Aksum,14.13019,38.71861
Al Qal'a of Beni Hammad,35.81844,4.78684
Al Zubarah Archaeological Site,25.97805556,51.02972222
"Al-Ahsa Oasis, an Evolving Cultural Landscape",25.40216667,49.63056944
Aldabra Atoll,-9.416666667,46.41666667
Alejandro de Humboldt National Park,20.45,-75
"Alhambra, Generalife and Albayzín, Granada",37.17677778,-3.589916667
Alto Douro Wine Region,41.10166667,-7.798888889
"Amami-Oshima Island, Tokunoshima Island, Northern part of Okinawa Island, and Iriomote Island",28.27916667,129.3783333
Amiens Cathedral,49.895,2.301666667
Amphitheatre of El Jem,35.29639,10.70694
"Ancient <I>Ksour</I> of Ouadane, Chinguetti, Tichitt and Oualata",20.92889,-11.62361
Ancient Building Complex in the Wudang Mountains,32.46667,111
Ancient City of Aleppo,36.19916667,37.16277778
Ancient City of Bosra,32.51916667,36.48416667
Ancient City of Damascus,33.51083333,36.30972222
Ancient City of Nessebar,42.65911111,27.73602778
Ancient City of Ping Yao,37.20139,112.15444
Ancient City of Polonnaruwa,7.915833333,81.00055556
Ancient City of Qalhat,22.69522222,59.37811111
Ancient City of Sigiriya,7.95,80.75
Ancient City of Tauric Chersonese and its Chora,44.61083333,33.49138889
Ancient Ferrous Metallurgy Sites of Burkina Faso,12.58775833,-3.328986111
Ancient Jericho/Tell es-Sultan,31.87130556,35.44405556
"Ancient Maya City and Protected Tropical Forests of Calakmul, Campeche",18.05302778,-89.73728333
Ancient Thebes with its Necropolis,25.73333,32.6
Ancient Villages in Southern Anhui – Xidi and Hongcun,29.90444444,117.9875
Ancient Villages of Northern Syria,36.33416667,36.84416667
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,48.9,22.18333333
Andrefana Dry Forests,-18.66157778,44.76738611
Angkor,13.43333333,103.8333333
Anjar,33.73194444,35.93333333
Antequera Dolmens Site,37.025,-4.544444444
Anticosti,49.53861111,-63.24527778
Antigua Guatemala,14.556504,-90.73381
Antigua Naval Dockyard and Related Archaeological Sites,17.00694444,-61.76166667
Aphrodisias,37.70833333,28.72361111
Aqueduct of Padre Tembleque Hydraulic System,19.83527778,-98.66256667
Arab-Norman Palermo and the Cathedral Churches of Cefalú and Monreale,38.11083333,13.35305556
Aranjuez Cultural Landscape,40.03645,-3.60934
Archaeological Area and the Patriarchal Basilica of Aquileia,45.76833333,13.3675
Archaeological Area of Agrigento,37.28972222,13.59333333
"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata",40.75,14.48333333
Archaeological Border complex of Hedeby and the Danevirke,54.46194444,9.454111111
Archaeological Ensemble of Mérida,38.91611,-6.33778
Archaeological Ensemble of Tarraco,41.11472222,1.259305556
Archaeological Heritage of the Lenggong Valley,5.067908333,100.9723278
Archaeological Landscape of the First Coffee Plantations in the South-East of Cuba,20.03,-75.39138889
Archaeological Monuments Zone of Xochicalco,18.803972,-99.29639
Archaeological Park and Ruins of Quirigua,15.27059,-89.04025
Archaeological Ruins at Moenjodaro,27.32916667,68.13888889
Archaeological Ruins of Liangzhu City,30.39555556,119.9908333
Archaeological Site of Aigai (modern name Vergina),40.47139,22.31833
Archaeological Site of Ani,40.5,43.56666667
Archaeological Site of Atapuerca,42.34972222,-3.515277778
Archaeological Site of Carthage,36.85278,10.32333
Archaeological Site of Cyrene,32.825,21.85833
Archaeological Site of Delphi,38.48149,22.49617
Archaeological Site of Leptis Magna,32.63833,14.29306
Archaeological Site of Mystras,37.08056,22.36667
"Archaeological Site of Nalanda Mahavihara at Nalanda, Bihar",25.13666667,85.44388889
Archaeological Site of Olympia,37.64,21.634
Archaeological Site of Philippi,41.01472222,24.28527778
Archaeological Site of Sabratha,32.80528,12.485
Archaeological Site of Troy,39.95644,26.239
Archaeological Site of Volubilis,34.07389,-5.55694
"Archaeological Sites of Bat, Al-Khutm and Al-Ayn",23.26986,56.745
Archaeological Sites of Mycenae and Tiryns,37.73333333,22.75
Archaeological Sites of the Island of Meroe,16.93333333,33.71666667
"Archaeological Zone of Paquimé, Casas Grandes",30.367128,-107.948122
Archipiélago de Revillagigedo,18.78805556,-110.9752778
Architectural Ensemble of the Trinity Sergius Lavra in Sergiev Posad,56.31035,38.1312
"Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh",53.22278,26.69139
Area de Conservación Guanacaste,10.85,-85.61666667
"Arles, Roman and Romanesque Monuments",43.67763889,4.630694444
Armenian Monastic Ensembles of Iran,38.97888889,45.47333333
Arslantepe Mound,38.3822,38.36109167
As-Salt - The Place of Tolerance and Urban Hospitality,32.04261111,35.72830556
Asante Traditional Buildings,6.401111111,-1.625833333
Ashur (Qal'at Sherqat),35.45666667,43.26111111
Asmara: A Modernist African City,15.33527778,38.93583333
"Assisi, the Basilica of San Francesco and Other Franciscan Sites",43.06616667,12.62244444
Assumption Cathedral and Monastery of the town-island of Sviyazhsk,55.77027778,48.65277778
Astronomical Observatories of Kazan Federal University,55.79090833,49.11909722
At-Turaif District in ad-Dir'iyah,24.73413333,46.57246667
Atlantic Forest South-East Reserves,-24.16667,-48
Auschwitz Birkenau <br /><small>German Nazi Concentration and Extermination Camp (1940-1945)</small>,50.03888889,19.175
Australian Convict Sites,-33.37833333,150.9944444
Australian Fossil Mammal Sites (Riversleigh / Naracoorte),-19.08333333,138.7166667
Baalbek,34.00666667,36.20416667
Babylon,32.54196944,44.42083333
Badain Jaran Desert - Towers of Sand and Lakes,39.88972222,102.2894444
Baekje Historic Areas,36.46194444,127.1272222
Bagan,21.14888889,94.88444444
Bahla Fort,22.96417,57.30111
Bahá’i Holy Places in Haifa and the Western Galilee,32.82939667,34.97164889
Bale Mountains National Park,6.797777778,39.74888889
Bam and its Cultural Landscape,29.11683,58.36666667
Ban Chiang Archaeological Site,17.407772,103.237589
Banc d'Arguin National Park,20.23472,-16.10889
Baptism Site “Bethany Beyond the Jordan” (Al-Maghtas),31.83722222,35.55277778
Barberton Makhonjwa Mountains,-25.97388889,31.01388889
Bardejov Town Conservation Reserve,49.29277778,21.27555556
Baroque Churches of the Philippines,14.59,120.97
"Bassari Country: Bassari, Fula and Bedik Cultural Landscapes",12.59333333,-12.84583333
"Bauhaus and its Sites in Weimar, Dessau and Bernau",50.97477778,11.3295
Beijing Central Axis: A Building Ensemble Exhibiting the Ideal Order of the Chinese Capital,39.90722222,116.3913889
Belfries of Belgium and France,50.17444,3.23139
Belize Barrier Reef Reserve System,17.190549,-87.846213
Benedictine Convent of St John at Müstair,46.62945,10.44765
Bergpark Wilhelmshöhe,51.31583333,9.393055556
Berlin Modernism Housing Estates,52.44833333,13.45
Białowieża Forest,52.7275,23.98111111
"Biblical Tels - Megiddo, Hazor, Beer Sheba",32.59722,35.18222
Bikini Atoll Nuclear Test Site,11.6,165.3805556
Birka and Hovgården,59.33514,17.54264
"Birthplace of Jesus: Church of the Nativity and the Pilgrimage Route, Bethlehem",31.70435278,35.2075
Bisotun,34.38833333,47.43666667
Blaenavon Industrial Landscape,51.77638889,-3.088055556
Blenheim Palace,51.84194444,-1.361388889
Blue and John Crow Mountains,18.0775,-76.57111111
Bolgar Historical and Archaeological Complex,54.97888889,49.05638889
"Bordeaux, Port of the Moon",44.83888889,-0.572222222
Borobudur Temple Compounds,-7.60778,110.20361
"Botanical Garden (Orto Botanico), Padua",45.39911111,11.88066667
Bourges Cathedral,47.08222222,2.398333333
Boyana Church,42.64463194,23.26618278
Brasilia,-15.78333,-47.9
Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,-3.857944444,-32.42511111
Brimstone Hill Fortress National Park,17.34694,-62.83722
Bronze Age Burial Site of Sammallahdenmäki,61.12056,21.7775
Bryggen,60.39722,5.32306
Brâncuși Monumental Ensemble of Târgu Jiu,45.03827778,23.27877778
Brú na Bóinne - Archaeological Ensemble of the Bend of the Boyne,53.69469444,-6.4755
"Budapest, including the Banks of the Danube, the Buda Castle Quarter and Andrássy Avenue",47.48242,19.07067
Buddhist Monuments at Sanchi,23.47944,77.73972
Buddhist Monuments in the Horyu-ji Area,34.61666667,135.7333333
Buddhist Ruins of Takht-i-Bahi and Neighbouring City Remains at Sahr-i-Bahlol,34.32083333,71.94583333
Budj Bim Cultural Landscape,-38.08111111,141.8852778
Burgos Cathedral,42.34073333,-3.704011111
Bursa and Cumalıkızık: the Birth of the Ottoman Empire,40.18473056,29.06233611
Butrint,39.745732,20.02095
Bwindi Impenetrable National Park,-1.047,29.692
Byblos,34.11917,35.64555556
Cahokia Mounds State Historic Site,38.65861111,-90.06138889
Caliphate City of Medina Azahara,37.88588889,-4.867694444
Cambodian Memorial Sites: From centres of repression to places of peace and reflection,11.77016,104.384814
Camino Real de Tierra Adentro,22.60805556,-102.3791667
Canadian Rocky Mountain Parks,51.42472222,-116.4797222
Canaima National Park,5.337994,-62.037883
Canal du Midi,43.61138889,1.416388889
"Canterbury Cathedral, St Augustine's Abbey, and St Martin's Church",51.28,1.083333333
Cape Floral Region Protected Areas,-34.35580512,18.47503218
Capital Cities and Tombs of the Ancient Koguryo Kingdom,41.15694444,126.1872222
Carlsbad Caverns National Park,32.16666667,-104.3833333
Carolingian Westwork and Civitas Corvey,51.77827778,9.41025
Castel del Monte,41.08480556,16.27094444
Castle of the Teutonic Order in Malbork,54.041,19.02972222
Castles and Town Walls of King Edward in Gwynedd,53.13972222,-4.276944444
Castles of Augustusburg and Falkenlust at Brühl,50.82502778,6.909777778
Catalan Romanesque Churches of the Vall de Boí,42.50472222,0.803611111
Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,40.15931,44.29514
"Cathedral of Notre-Dame, Former Abbey of Saint-Rémi and Palace of Tau, Reims",49.25333333,4.032777778
"Cathedral, Alcázar and Archivo de Indias in Seville",37.38384,-5.99155
"Cathedral, Torre Civica and Piazza Grande, Modena",44.64624,10.92568
Cave of Altamira and Paleolithic Cave Art of Northern Spain,43.38252778,-4.116166667
Caves and Ice Age Art in the Swabian Jura,48.38777778,9.765555556
Caves of Aggtelek Karst and Slovak Karst,48.47573,20.48687
Caves of Maresha and Bet-Guvrin in the Judean Lowlands as a Microcosm of the Land of the Caves,31.60111111,34.9
Centennial Hall in Wrocław,51.10694722,17.07701389
Central Amazon Conservation Complex,-2.333333333,-62.00833333
Central Highlands of Sri Lanka,7.45245,80.8021
Central Sector of the Imperial Citadel of Thang Long - Hanoi,21.03752,105.838623
Central Sikhote-Alin,46.68333333,136.6611111
Central Suriname Nature Reserve,4,-56.5
Central University City Campus of the <i>Universidad Nacional Autónoma de México</i> (UNAM),19.33222222,-99.18805556
Central Zone of the Town of Angra do Heroismo in the Azores,38.655,-27.22
Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks,-14.00569444,-47.68461111
Chaco Culture,36.06377778,-107.9708333
"Champagne Hillsides, Houses and Cellars",49.0775,3.946111111
Champaner-Pavagadh Archaeological Park,22.48333333,73.53333333
Chan Chan Archaeological Zone,-8.107836,-79.074737
Changdeokgung Palace Complex,37.57888889,126.9911111
Chankillo Archaeoastronomical Complex,-9.556861111,-78.23591667
Chartres Cathedral,48.4475,1.487222222
Chavin (Archaeological Site),-9.592772544,-77.1784535
Chaîne des Puys - Limagne fault tectonic arena,45.77938889,2.965111111
Chengjiang Fossil Site,24.66888889,102.9772222
Chhatrapati Shivaji Terminus (formerly Victoria Terminus),18.94012222,72.83620278
Chief Roi Mata’s Domain,-17.62806944,168.1777194
China Danxia,28.42194444,106.0425
Chiribiquete National Park – “The Maloca of the Jaguar”,0.525277778,-72.79722222
Chitwan National Park,27.5,84.33333
Choirokoitia,34.79674067,33.34394315
Chongoni Rock-Art Area,-14.21852077,34.20707383
"Church Town of Gammelstad, Luleå",65.64611,22.02861
Church and Dominican Convent of Santa Maria delle Grazie with “The Last Supper” by Leonardo da Vinci,45.466,9.171
"Church of the Ascension, Kolomenskoye",55.65556,37.67389
Churches and Convents of Goa,15.50222,73.91167
Churches of Chiloé,-42.5,-73.76666667
Churches of Moldavia,47.77833333,25.71277778
Churches of Peace in Jawor and Świdnica,51.05427778,16.19594444
Churches of the Pskov School of Architecture,57.80719444,28.32855556
"Cidade Velha, Historic Centre of Ribeira Grande",14.91513889,-23.605194439999998
"Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia, and the Certosa di Padula",40.28333333,15.26666667
Cistercian Abbey of Fontenay,47.63944,4.38911
Citadel of the Ho Dynasty,20.07805556,105.6047222
"Citadel, Ancient City and Fortress Buildings of Derbent",42.05583333,48.28277778
City of Bath,51.38130556,-2.359055556
City of Cuzco,-13.517276,-71.980004
City of Graz – Historic Centre and Schloss Eggenberg,47.07305556,15.43861111
City of Luxembourg: its Old Quarters and Fortifications,49.61,6.13333
City of Potosí,-19.599112,-65.749813
City of Quito,-0.22,-78.51208333
City of Safranbolu,41.26,32.68972
City of Valletta,35.90056,14.51444
City of Verona,45.43861111,10.99388889
City of Vicenza and the Palladian Villas of the Veneto,45.54916667,11.54944444
Ciudad Universitaria de Caracas,10.49073,-66.89068
Classical Gardens of Suzhou,31.31666667,120.45
Classical Weimar,50.9775,11.32861
Cliff of Bandiagara (Land of the Dogons),14.33333,-3.41667
Coastal and Marine Ecosystems of the Bijagós Archipelago – Omatí Minhô,11.12,-15.94888889
Cocos Island National Park,5.533333333,-87.06666667
Coffee Cultural Landscape of Colombia,4.889476,-75.773082
Coiba National Park and its Special Zone of Marine Protection,7.433,-81.766
Colchic Rainforests and Wetlands,41.70227778,41.9512
Cold Winter Deserts of Turan,44.02583333,79.03416667
"Collegiate Church, Castle and Old Town of Quedlinburg",51.78333,11.15
Cologne Cathedral,50.94111111,6.957222222
Colonial City of Santo Domingo,18.472394,-69.885841
Colonies of Benevolence,53.04222222,6.391588889
Comoé National Park,9,-4
Complex of Hué Monuments,16.46944,107.57778
Complex of Koguryo Tombs,38.86305556,125.415
Convent of Christ in Tomar,39.60472,-8.4175
Cordouan Lighthouse,45.58630556,-1.173333333
Cornwall and West Devon Mining Landscape,50.13611111,-5.383611111
Coro and its Port,11.409794,-69.679228
Costiera Amalfitana,40.63333333,14.60277778
Crac des Chevaliers and Qal’at Salah El-Din,34.75666667,36.29444444
Crespi d'Adda,45.59333,9.53833
"Cueva de las Manos, Río Pinturas",-47.15,-70.66666667
Cultural Heritage Sites of Ancient Khuttal,37.74439361,69.29871278
Cultural Landscape and Archaeological Remains of the Bamiyan Valley,34.84694,67.82525
Cultural Landscape of Bali Province: the <em>Subak</em> System as a Manifestation of the <em>Tri Hita Karana</em> Philosophy,-8.259166667,115.4027778
Cultural Landscape of Hawraman/Uramanat,35.10735833,46.47785
Cultural Landscape of Honghe Hani Rice Terraces,23.09327778,102.7799806
Cultural Landscape of Kenozero Lake,61.928,38.17261111
Cultural Landscape of Khinalig People and “Köç Yolu” Transhumance Route,40.7059,48.8854
Cultural Landscape of Maymand,30.16805556,55.37555556
Cultural Landscape of Old Tea Forests of the Jingmai Mountain in Pu’er,22.18416667,100.0075
Cultural Landscape of Sintra,38.78333,-9.41667
Cultural Landscape of the Serra de Tramuntana,39.73083333,2.694722222
"Cultural Sites of Al Ain (Hafit, Hili, Bidaa Bint Saud and Oases Areas)",24.06777778,55.80638889
Cultural and Historic Ensemble of the Solovetsky Islands,65.08333333,35.66666667
Curonian Spit,55.27458,20.96239
Dacian Fortresses of the Orastie Mountains,45.62305556,23.31194444
Danube Delta,45.08333,29.5
Darien National Park,7.736111111,-77.54722222
Dazu Rock Carvings,29.70111,105.705
"Decorated Cave of Pont d’Arc, known as Grotte Chauvet-Pont d’Arc, Ardèche",44.3875,4.416111111
Decorated Farmhouses of Hälsingland,61.70722222,16.19583333
Deer Stone Monuments and Related Bronze Age Sites,47.74277778,101.2258333
Delos,37.4,25.26667
Derwent Valley Mills,53.02888889,-1.488055556
Desembarco del Granma National Park,19.88333,-77.63333
Dholavira: a Harappan City,23.88840833,70.21330278
Dilmun Burial Mounds,26.14972222,50.51277778
Dinosaur Provincial Park,50.76777778,-111.4922222
Discovery Coast Atlantic Forest Reserves,-16.5,-39.25
Diy-Gid-Biy Cultural Landscape of the Mandara Mountains,10.90333333,13.79555556
Diyarbakır Fortress and Hevsel Gardens Cultural Landscape,37.9031,40.23930833
Dja Faunal Reserve,3.125,12.983
Djerba: Testimony to a settlement pattern in an island territory,33.79241944,11.00395833
Djoudj National Bird Sanctuary,16.414602,-16.237906
Djémila,36.32056,5.73667
Dong Phayayen-Khao Yai Forest Complex,14.33,102.05
Dorset and East Devon Coast,50.70555556,-2.989888889
Dougga / Thugga,36.42361,9.22028
Doñana National Park,36.9477,-6.358861
Droogmakerij de Beemster (Beemster Polder),52.54888889,4.911111111
Durham Castle and Cathedral,54.77472222,-1.576111111
Durmitor National Park,43.133,19.0166
Dutch Water Defence Lines,52.555,4.791388889
"ESMA Museum and Site of Memory – Former Clandestine Centre of Detention, Torture and Extermination",-34.53664167,-58.46533333
Earliest 16th-Century Monasteries on the Slopes of Popocatepetl,18.93472222,-98.89777778
Early Christian Monuments of Ravenna,44.42041667,12.19625
Early Christian Necropolis of Pécs (Sopianae),46.07444,18.22778
East Rennell,-11.68333,160.33333
Ecosystem and Relict Cultural Landscape of Lopé-Okanda,-0.5,11.5
Eisinga Planetarium in Franeker,53.187375,5.543752778
El Pinacate and Gran Desierto de Altar Biosphere Reserve,32,-113.9166667
"El Tajin, Pre-Hispanic City",20.446095,-97.377642
Elephanta Caves,18.96667,72.93583
Ellora Caves,20.02639,75.17917
Engelsberg Ironworks,59.97,16.01
Ennedi Massif: Natural and Cultural Landscape,17.04166667,21.86277778
Ensemble of the Ferapontov Monastery,59.95,38.56666667
Ensemble of the Novodevichy Convent,55.72611111,37.55508333
Ephesus,37.92916667,27.35944444
Episcopal City of Albi,43.92916667,2.144166667
Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Poreč,45.22858333,13.59333333
Erbil Citadel,36.19111111,44.00916667
Erzgebirge/Krušnohoří Mining Region,50.40652778,12.83734444
Etruscan Necropolises of Cerveteri and Tarquinia,42.00683333,12.10188889
Evaporitic Karst and Caves of Northern Apennines,44.37994444,10.38891667
Everglades National Park,25.55444444,-80.99638889
Fagus Factory in Alfeld,51.98388889,9.812222222
Fanjingshan,27.89555556,108.68
"Fasil Ghebbi, Gondar Region",12.607909,37.4697
Fatehpur Sikri,27.097528,77.6665
Faya Palaeolandscape,25.08280556,55.80658333
"Ferrara, City of the Renaissance, and its Po Delta",44.83777778,11.61944444
Fertö / Neusiedlersee Cultural Landscape,47.71927778,16.72272222
Flemish Béguinages,51.03097222,4.47375
Forest Massif of Odzala-Kokoua,1.335555556,14.86027778
Forest Research Institute Malaysia Forest Park Selangor,3.22925,101.6272778
"Fort Jesus, Mombasa",-4.062777778,39.67944444
Fort and Shalamar Gardens in Lahore,31.59027778,74.30972222
Fortifications of Vauban,47.23611111,6.026944444
Fortifications on the Caribbean Side of Panama: Portobelo-San Lorenzo,9.553888889,-79.65583333
Fortress of Suomenlinna,60.14722,24.98722
"Forts and Castles, Volta, Greater Accra, Central and Western Regions",5.39103,-0.49361
Fossil Hominid Sites of South Africa,-24.15861,29.17694
Franciscan Missions in the Sierra Gorda of Querétaro,21.20438889,-99.46411111
Fray Bentos Industrial Landscape,-33.11777778,-58.33166667
French Austral Lands and Seas,-49.38036111,69.35280556
"From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans, the Production of Open-pan Salt",46.9375,5.876388889
Frontiers of the Roman Empire,54.99261111,-2.601
Frontiers of the Roman Empire – Dacia,47.18078889,23.15941111
Frontiers of the Roman Empire – The Danube Limes (Western Segment),48.11519444,16.86138889
Frontiers of the Roman Empire – The Lower German Limes,52.18033333,4.433
Fuerte de Samaipata,-18.178323,-63.820485
Fujian <em>Tulou</em>,25.02305556,117.6858333
"Fujisan, sacred place and source of artistic inspiration",35.36083333,138.7275
Funerary Tradition in the Prehistory of Sardinia – <em>The domus de janas</em>,40.08513889,8.951333333
Galápagos Islands,-0.68986,-90.501319
"Gamzigrad-Romuliana, Palace of Galerius",43.89930556,22.18611111
Garajonay National Park,28.12625,-17.23722222
Garamba National Park,4,29.25
Garden Kingdom of Dessau-Wörlitz,51.8425,12.42083
Gardens and Castle at Kroměříž,49.3,17.37722222
Garrison Border Town of Elvas and its Fortifications,38.88061944,-7.163322222
Gaya Tumuli,35.23726389,128.873725
Gebel Barkal and the Sites of the Napatan Region,18.537,31.82802778
Gelati Monastery,42.29472222,42.76833333
Genoa: <i>Le Strade Nuove</i> and the system of the<i> Palazzi dei Rolli</i>,44.41222222,8.931111111
"Getbol, Korean Tidal Flats",34.82882222,126.1044444
Giant's Causeway and Causeway Coast,55.24083333,-6.511666667
Gobustan Rock Art Cultural Landscape,40.125,49.375
"Gochang, Hwasun and Ganghwa Dolmen Sites",34.96667,126.92917
Gola-Tiwai Complex,7.541166667,-11.34788889
Golden Mountains of Altai,50.46666667,86
Golestan Palace,35.68036667,51.42051111
Gonbad-e Qābus,37.25802778,55.169
Gondwana Rainforests of Australia,-28.25,150.05
Gordion,39.64333333,31.98611111
Gorham's Cave Complex,36.12266944,-5.342061111
Gough and Inaccessible Islands,-40.32472222,-9.928611111
Grand Canyon National Park,36.10083333,-112.0905556
Great Barrier Reef,-18.28611111,147.7
Great Burkhan Khaldun Mountain and its surrounding sacred landscape,48.76197778,109.0093278
Great Himalayan National Park Conservation Area,31.83333333,77.58333333
Great Living Chola Temples,10.78305556,79.1325
Great Mosque and Hospital of Divriği,39.371271,38.121826
Great Smoky Mountains National Park,35.59305556,-83.43555556
Great Zimbabwe National Monument,-20.27116995,30.93326897
Greater Blue Mountains Area,-33.7,150
"Grimeton Radio Station, Varberg",57.1,12.38333333
Gros Morne National Park,49.6125,-57.53138889
Group of Monuments at Hampi,15.31444,76.47167
Group of Monuments at Mahabalipuram,12.61667,80.19167
Group of Monuments at Pattadakal,15.94833,75.81667
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",42.32519444,8.628833333
Gunung Mulu National Park,4.13333,114.91667
Gusuku Sites and Related Properties of the Kingdom of Ryukyu,26.20861111,127.6827778
Gyeongju Historic Areas,35.78889,129.22667
Göbekli Tepe,37.22324194,38.92236389
Göreme National Park and the Rock Sites of Cappadocia,38.66667,34.85
Ha Long Bay - Cat Ba Archipelago,20.83277778,107.1611111
"Haeinsa Temple Janggyeong Panjeon, the Depositories for the <I>Tripitaka Koreana</I> Woodblocks",35.801672,128.098711
Hallstatt-Dachstein / Salzkammergut Cultural Landscape,47.55944444,13.64638889
Hanseatic City of Lübeck,53.86667,10.69167
Hanseatic Town of Visby,57.64167,18.29583
"Harar Jugol, the Fortified Historic Town",9.308888889,42.13777778
Hatra,35.58806,42.71833
Hattusha: the Hittite Capital,40.01389,34.62056
Hawaii Volcanoes National Park,19.40083333,-155.1236111
Head-Smashed-In Buffalo Jump,49.70840556,-113.6520528
Heard and McDonald Islands,-53.1,73.5
Heart of Neolithic Orkney,58.99605556,-3.188666667
Hebron/Al-Khalil Old Town,31.52444444,35.10833333
Hegmataneh,34.80238889,48.51668611
Hegra Archaeological Site (al-Hijr / Madā ͐ in Ṣāliḥ),26.78361111,37.955
Henderson Island,-24.36666667,-128.3333333
Heritage of Mercury. Almadén and Idrija,38.77527778,-4.838888889
Hidden Christian Sites in the Nagasaki Region,32.80222222,128.9038889
Hierapolis-Pamukkale,37.92389,29.12333
High Coast / Kvarken Archipelago,63.3,21.3
Hill Forts of Rajasthan,24.88333333,74.64611111
Himeji-jo,34.83333333,134.7
"Hiraizumi – Temples, Gardens and Archaeological Sites Representing the Buddhist Pure Land",39.00111111,141.1077778
Hiroshima Peace Memorial (Genbaku Dome),34.395556,132.453611
"Historic Area of Willemstad, Inner City and Harbour, Curaçao",12.10194,-68.90222
Historic Areas of Istanbul,41.00847,28.97993
Historic Bridgetown and its Garrison,13.09666667,-59.61388889
Historic Cairo,30.05,31.26111
Historic Centre (Old Town) of Tallinn,59.437,24.74
Historic Centre of Agadez,16.97361111,7.991388889
"Historic Centre of Avignon: Papal Palace, Episcopal Ensemble and Avignon Bridge",43.95277778,4.806111111
